"Sorting.code","Mesh.size","Leaf.condition","Genus","latitude","longitude","mean_kd","mean_mean_daily_temp","Citation"
1900,"coarse","senesced","Myrcia",-19.164,-43.3102,0.0063,16.1,"Moretti et al. 2007 Limnologica, Moretti et al. 2007 IRH"
1903,"coarse","senesced","Protium",-19.164,-43.3102,0.00195,16.1,"Moretti et al. 2007 Limnologica, Moretti et al. 2007 IRH"
1920,"fine","senesced","Myrcia",-23.52,-43.23,0.006,21.75,"Moulton et al. 2010 Hydrobiologia"
1921,"coarse","senesced","Myrcia",-23.52,-43.23,0.00941666666666667,21.75,"Moulton et al. 2010 Hydrobiologia"
1981,"coarse","senesced","Alnus",49.184,-122.324,0.05685,14.08,"Kominoski et al. 2011 Ecology"
1991,"coarse","senesced","Quercus",34.05,-5.31,0.00323333333333333,23.2666666666667,"Naamane et al 1999 Annls Limnol"
1994,"coarse","senesced","Populus",34.05,-5.31,0.0137666666666667,23.2666666666667,"Naamane et al 1999 Annls Limnol"
2009,"coarse","senesced","Quercus",39.1504,-76.4272,0.00655,6.7,"Swan et al 2008 Ecoscience"
2011,"coarse","senesced","Acer",39.1504,-76.4272,0.0161,6.7,"Swan et al 2008 Ecoscience"
2013,"coarse","senesced","Liriodendron",39.1504,-76.4272,0.0315,6.7,"Swan et al 2008 Ecoscience"
2014,"coarse","senesced","Cornus",39.1504,-76.4272,0.0384,6.7,"Swan et al 2008 Ecoscience"
2016,"coarse","senesced","Liriodendron",39.1348,-76.4424,0.0221,8.1,"Swan et al 2009 Ecology"
2017,"coarse","senesced","Fraxinus",39.1348,-76.4424,0.0155,8.1,"Swan et al 2009 Ecology"
2018,"coarse","senesced","Fagus",39.1348,-76.4424,0.0054,8.1,"Swan et al 2009 Ecology"
2019,"coarse","senesced","Quercus",39.1348,-76.4424,0.0092,8.1,"Swan et al 2009 Ecology"
2042,"coarse","senesced","Zea",39.0055,-75.5619,0.0388,5.8,"Swan et al 2009 J. Applied Ecology"
2043,"coarse","senesced","Zea",39.0322,-75.5819,0.0284333333333333,5.9,"Swan et al 2009 J. Applied Ecology"
2044,"coarse","senesced","Zea",38.5731,-76.0293,0.0414,2.9,"Swan et al 2009 J. Applied Ecology"
2045,"coarse","senesced","Zea",39.1574,-76.5603,0.0482333333333333,4.7,"Swan et al 2009 J. Applied Ecology"
2046,"coarse","senesced","Zea",39.1526,-76.5552,0.0609,9.8,"Swan et al 2009 J. Applied Ecology"
2047,"coarse","senesced","Zea",39.1534,-76.5559,0.0127666666666667,4.6,"Swan et al 2009 J. Applied Ecology"
2050,"coarse","senesced","Zea",38.5781,-76.0293,0.0299,2.9,"Swan et al 2009 J. Applied Ecology"
2058,"coarse","senesced","Zea",39.1526,-76.5562,0.03585,11.15,"Swan et al 2009 J. Applied Ecology"
2060,"coarse","senesced","Zea",39.3371,-76.5236,0.0292555555555556,9.9,"Swan et al 2009 J. Applied Ecology"
2061,"coarse","senesced","Zea",39.3272,-76.4974,0.0243777777777778,9,"Swan et al 2009 J. Applied Ecology"
2062,"coarse","senesced","Zea",39.3485,-76.5236,0.0236,7.9,"Swan et al 2009 J. Applied Ecology"
2096,"coarse","senesced","Alnus",43.5441,1.4545,0.0602,6.5,"Lecerf and Chauvet 2008 FWB"
2098,"coarse","senesced","Alnus",43.2002,2.1354,0.0567,8.3,"Lecerf and Chauvet 2008 FWB"
2099,"coarse","senesced","Alnus",43.2444,2.2236,0.0504,11.8,"Lecerf and Chauvet 2008 FWB"
